TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
,GM12878,Mg,18,4070,226.278,71.988,71.985,35.993,195318.216,16279.683
,GM12878,Mg,19,3354,207.283,73.424,58.162,31.625,130051.488,12528.491
,GM12878,Mg,20,4163,229,72.809,72.8,36.402,202044.228,16651.311
112316_Mg_2.tif,GM12878,Mg,1,3489,210.169,71.277,62.325,32.655,144968.154,13387.159
,GM12878,Mg,2,3765,217.692,71.381,67.158,34.283,168568.63,14766.784
,GM12878,Mg,3,3809,218.629,71.823,67.524,34.479,171466.185,14935.758
,GM12878,Mg,4,3144,199.06,65.259,61.341,31.324,128570.325,12327.375
,GM12878,Mg,5,3970,223.675,73.266,68.992,35.208,182599.075,15574.916
,GM12878,Mg,6,6541,286.474,93.9,88.693,45.214,386761.205,25685.897
,GM12878,Mg,7,3553,211.824,69.244,65.331,33.318,154745.982,13947.259
,GM12878,Mg,8,3815,219.92,75.05,64.722,34.082,164608.849,14580.251
,GM12878,Mg,9,5269,258.539,85.907,78.093,40.349,274316.158,20449.132
,GM12878,Mg,10,5268,257.67,86.129,77.876,40.314,273498.721,20412.199
,GM12878,Mg,11,3651,217.854,78.848,58.957,32.794,143502.695,13444.534
,GM12878,Mg,12,4981,249.957,79.652,79.621,39.816,264393.372,19921.308
,GM12878,Mg,13,3501,210.417,66.768,66.763,33.382,155825.553,14003.714
,GM12878,Mg,14,3897,221.104,70.448,70.433,35.219,182986.759,15587.049
,GM12878,Mg,15,3663,214.584,68.313,68.272,34.143,166719.819,14649.034
,GM12878,Mg,16,6522,286.466,91.141,91.112,45.561,396153.568,26085.14
,GM12878,Mg,17,3387,206.209,65.755,65.584,32.821,148089.138,13536.305
,GM12878,Mg,18,3691,215.359,68.58,68.526,34.272,168619.139,14760.081
,GM12878,Mg,19,4595,240.296,76.521,76.457,38.239,234214.493,18374.972
,GM12878,Mg,20,3490,209.415,66.727,66.594,33.319,154942.452,13950.766
112316_Mg_3.tif,GM12878,Mg,1,4704,243.528,81.335,73.637,38.102,230923.572,18233.873
